Citation Number,Citation Issued DateTime,Violation,Violation Description,Citation Location,Vehicle Plate State,Vehicle Plate,Fine Amount,Date Added,geom,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
769769755,09/01/2009 12:15:00 PM,T37C,ST CLEANIN,650 KIRKHAM ST,CA,5LBX544,53,09/01/2009 12:00:00 AM,POINT (-122.46793901699999 37.76037301300005),109,109,10,8,14
772978776,10/30/2009 12:32:00 PM,T315A,RESIDENTL,200 GENEVA AVE,CA,5SFD587,63,10/30/2009 12:00:00 AM,POINT (-122.44926222899994 37.72165136500007),81,81,10,1,24
771176965,09/15/2009 12:31:00 PM,T37C,ST CLEANIN,1335 42ND AVE,CA,6HKA454,53,09/15/2009 12:00:00 AM,POINT (-122.50195898199996 37.761779999000055),39,39,10,7,35
768642534,09/02/2009 12:43:00 PM,T38B.1,YL ZN OT/D,437 CASTRO ST,CA,6HKC761,73,09/02/2009 12:00:00 AM,POINT (-122.43503868599998 37.76192020800005),38,38,3,5,5
772603893,10/24/2009 11:14:00 AM,T202.1,PRK MTR #1,221 DRUMM ST,CA,6BOT232,63,10/24/2009 12:00:00 AM,POINT (-122.396863699 37.79561197000004),108,108,6,3,8
770682883,09/14/2009 12:23:00 PM,T315A,RESIDENTL,345 FRANCISCO ST,CA,5AQA885,63,09/14/2009 12:00:00 AM,POINT (-122.41072689999999 37.804968202000055),106,106,6,3,23
770883551,09/18/2009 02:16:00 PM,T315A,RESIDENTL,1374 05TH  AVE,CA,6JJP625,63,09/18/2009 12:00:00 AM,POINT (-122.37260864499996 37.83194333900008),36,36,1,10,37
770749000,09/18/2009 12:08:00 PM,T315A,RESIDENTL,323 14TH AVE,CA,5LDN205,63,09/18/2009 12:00:00 AM,POINT (-122.47318700999995 37.78210598900006),5,5,8,4,29
770903405,09/07/2009 03:38:00 PM,T202.1,PRK MTR #1,2 O'FARRELL ST,CA,6Z96248,63,09/07/2009 12:00:00 AM,POINT (-122.40495191299999 37.78690040600003),19,19,6,3,8
772593194,10/29/2009 04:10:00 PM,T32A.1,TWAWY ZN#1,905 SACRAMENTO ST,CA,B07AK,83,10/29/2009 12:00:00 AM,POINT (-122.40781926399995 37.79310277800005),16,16,6,3,6
770938991,09/12/2009 01:05:00 PM,T202,PRK METER,725 TARAVAL ST,CA,6GET836,53,09/12/2009 12:00:00 AM,POINT (-122.474027966 37.74287499400003),46,46,10,8,41
770461241,09/04/2009 07:29:00 AM,T32B,PROHIB PRK,5 MOJAVE ST,CA,4AUD476,73,09/04/2009 12:00:00 AM,,,,,,
770553011,09/03/2009 06:40:00 AM,T37C,ST CLEANIN,140 TAYLOR ST,CA,6EWT409,53,09/03/2009 12:00:00 AM,POINT (-122.41079965499995 37.78364511600006),20,20,5,10,36
771366643,09/18/2009 12:09:00 PM,T37C,ST CLEANIN,20 DE SOTO ST,CA,4AWE002,53,09/18/2009 12:00:00 AM,,,,,,
770408004,09/18/2009 04:21:00 PM,T32A.1,TWAWY ZN#1,536 SUTTER ST,CA,6AAC653,73,09/18/2009 12:00:00 AM,POINT (-122.409311963 37.78942100100005),19,19,6,3,21
770515465,09/04/2009 07:43:00 AM,T37C,ST CLEANIN,2627 VICENTE ST,CA,6GHL330,53,09/04/2009 12:00:00 AM,,,,,,
11198854J,10/22/2009 07:00:00 PM,V21113A,SCH/PUB GD,50 PHELAN AVE.,CA,5EXR822,58,10/22/2009 12:00:00 AM,POINT (-122.45229641599997 37.72393379300007),95,95,9,8,41
770534903,09/11/2009 12:37:00 PM,T202.1,PRK MTR #1,1178 HOWARD ST,CA,6EXT819,63,09/11/2009 12:00:00 AM,POINT (-122.41094949999996 37.77680178900005),32,32,1,10,34
769884356,09/18/2009 12:40:00 AM,T37C,ST CLEANIN,580 DELANCEY ST,CA,6CQX323,53,09/18/2009 12:00:00 AM,POINT (-122.39012741599998 37.78376861000004),31,31,1,10,8
770889512,09/16/2009 12:57:00 PM,T58A,BLK WHEELS,610 FELL ST,CA,4ZED177,48,09/16/2009 12:00:00 AM,POINT (-122.42794141499996 37.775372780000055),22,22,4,11,9
842288845,06/07/2014 02:19:00 PM,V22500F,ON SIDEWLK,408 SOMERSET ST,CA,4FJY956,110,08/06/2018 12:00:00 AM,,,,,,
1003702114,04/25/2016 01:10:00 PM,TRC7.2.44A,ON ST LST,617 2ND ST,CA,5ARU718,875,09/15/2020 12:00:00 AM,,,,,,
1006337861,04/03/2022 02:00:00 PM,TRC7.2.42,RESTRICTED,1000 TURK STREET,CA,8JYA770,108,04/30/2022 12:00:00 AM,,,,,,
773062065,10/28/2009 01:22:00 PM,T202.1,PRK MTR #1,411 COLUMBUS AVE,CA,6AKK002,63,10/28/2009 12:00:00 AM,POINT (-122.40855499299994 37.798877004000076),106,106,6,3,6
771400022,09/19/2009 04:31:00 PM,T202.1,PRK MTR #1,105 JACKSON ST,TX,RKV764,63,09/19/2009 12:00:00 AM,POINT (-122.39842547599994 37.796994823000034),77,77,6,3,8
770677821,09/10/2009 10:41:00 AM,T202,PRK METER,2308 CHESTNUT ST,CA,4MKA372,53,09/10/2009 12:00:00 AM,POINT (-122.44139363599999 37.80023685500004),17,17,4,6,13
770482311,09/01/2009 12:37:00 PM,T315A,RESIDENTL,596 14TH ST,CA,4ALZ667,63,09/01/2009 12:00:00 AM,POINT (-122.42650074299996 37.767967644000066),37,37,3,5,20
771008906,09/14/2009 07:35:00 PM,V22500E,DRIVEWAY,427 MISSOURI ST,CA,5MQA971,88,09/14/2009 12:00:00 AM,,,,,,
772458680,10/31/2009 11:58:00 AM,T202,PRK METER,3334 17TH ST,CA,6EDX881,53,10/31/2009 12:00:00 AM,POINT (-122.42035000699997 37.76354598200004),53,53,3,2,20
PD20487132,09/11/2009 04:53:00 AM,V5204A,REG TABS,BRANNAN ST.,CA,SCURRY,63,09/11/2009 12:00:00 AM,POINT (-122.39451819699997 37.77993630900005),32,32,1,10,34
770187143,09/01/2009 11:41:00 PM,V22500F,ON SIDEWLK,3347 21ST ST,GA,AYY8672,103,09/01/2009 12:00:00 AM,POINT (-122.42217801599998 37.756592984000065),52,52,3,5,20
772862904,10/24/2009 11:07:00 AM,T202,PRK METER,2426 CLEMENT ST,CA,4CTZ330,53,10/24/2009 12:00:00 AM,POINT (-122.48519853099998 37.78207753100003),8,8,8,4,29
771012686,09/17/2009 12:50:00 PM,T315A,RESIDENTL,58 ELIZABETH ST,CA,5YFP192,63,09/17/2009 12:00:00 AM,,,,,,
770502633,09/02/2009 12:13:00 PM,T37C,ST CLEANIN,381 TOMPKINS AVE,WA,064WYT,53,09/02/2009 12:00:00 AM,,,,,,
770860985,09/18/2009 07:04:00 PM,V22500B,PK/CROSS,400 ARGUELLO BLVD,CA,6AQW508,88,09/18/2009 12:00:00 AM,,,,,,
770572891,09/09/2009 12:43:00 PM,T202,PRK METER,424 HAYES ST,CA,5YFN591,53,09/09/2009 12:00:00 AM,POINT (-122.42352599399999 37.777063017000046),22,22,4,11,9
772591842,10/27/2009 02:08:00 PM,T315A,RESIDENTL,1371 08TH AVE,CA,4XEN017,63,10/27/2009 12:00:00 AM,,,,,,
769667430,09/08/2009 12:43:00 AM,T37C,ST CLEANIN,795 CLEMENTINA ST,CA,6R42233,53,09/08/2009 12:00:00 AM,POINT (-122.41200831599997 37.77422739700006),32,32,1,10,34
770542415,09/04/2009 04:15:00 PM,T202,PRK METER,3207 PIERCE ST,CA,6HGP198,53,09/04/2009 12:00:00 AM,POINT (-122.43955202499995 37.79967600800006),17,17,4,6,13
770516261,09/01/2009 12:22:00 PM,T38B,YEL ZONEDN,105 NATOMA ST,OR,255CDT,73,09/01/2009 12:00:00 AM,POINT (-122.39889409999995 37.78706178900006),32,32,1,10,8
769820100,09/16/2009 06:07:00 PM,V5204A,REG TABS,55 COLUMBIA SQUARE ST,CA,5NEG229,63,09/16/2009 12:00:00 AM,POINT (-122.40560659799996 37.77726513700003),32,32,1,10,34
770188646,09/01/2009 05:45:00 PM,T202,PRK METER,503 HAYES ST,CA,805BET,53,09/01/2009 12:00:00 AM,POINT (-122.42476258699998 37.77657628800006),22,22,4,11,9
770526315,09/15/2009 11:02:00 AM,T202.1,PRK MTR #1,211 EMBARCADERO SOUTH,CA,5TEL813,63,09/15/2009 12:00:00 AM,POINT (-122.39444325399995 37.795990060000065),108,108,6,3,8
771191293,09/19/2009 11:28:00 AM,T202,PRK METER,449 VALENCIA ST,CA,5XVZ994,53,09/19/2009 12:00:00 AM,POINT (-122.42190246099995 37.76582978500005),53,53,3,2,20
770994755,09/16/2009 05:35:00 PM,T32A.1,TWAWY ZN#1,361 BUSH ST,CA,5ZZL010,73,09/16/2009 12:00:00 AM,,,,,,
770850360,09/14/2009 06:04:00 PM,T32A.1,TWAWY ZN#1,70 HOWARD ST,CA,6JDJ511,73,09/14/2009 12:00:00 AM,POINT (-122.39204348699997 37.79179098900005),108,108,1,10,8
772657163,10/23/2009 01:05:00 PM,T315A,RESIDENTL,228 SANCHEZ ST,CA,3SGK141,63,10/23/2009 12:00:00 AM,POINT (-122.43141797499999 37.76509198300005),38,38,3,5,5
771148276,09/16/2009 01:15:00 PM,V22500H,DBL PARK,75 COLIN P KELLY JR ST,CA,6GJP885,78,09/16/2009 12:00:00 AM,POINT (-122.39009965799994 37.781602932000055),31,31,1,10,8
770521043,09/12/2009 11:21:00 AM,T202,PRK METER,3430 18TH ST,CA,6AJA202,53,09/12/2009 12:00:00 AM,POINT (-122.42027028199999 37.761852119000025),53,53,3,2,20
770288234,09/11/2009 11:19:00 AM,T202,PRK METER,3429 20TH ST,CA,1MOA372,53,09/11/2009 12:00:00 AM,POINT (-122.41747803199996 37.75850301000003),53,53,3,2,20
30691113T,09/10/2009 09:28:00 AM,TC127D,FAILTODISP,MEZZANINE,,,75,09/10/2009 12:00:00 AM,POINT (-122.40810999999997 37.782620000000065),32,32,5,10,34
773133211,10/30/2009 08:21:00 AM,T37C,ST CLEANIN,749 COLE ST,CA,NTYPWR,53,10/30/2009 12:00:00 AM,POINT (-122.45041815399998 37.76771491400007),29,29,7,11,3
771074802,09/16/2009 11:58:00 AM,T202.1,PRK MTR #1,89 SPEAR ST,CA,8N68605,63,09/16/2009 12:00:00 AM,POINT (-122.39424276899996 37.792767326000046),108,108,6,10,8
770738146,09/07/2009 12:47:00 PM,T202,PRK METER,1298 10TH AVE,CA,5DYE597,53,09/07/2009 12:00:00 AM,POINT (-122.46733503299998 37.764059675000055),109,109,10,11,14
772952121,10/23/2009 12:29:00 PM,T37C,ST CLEANIN,1001 BRODERICK ST,FL,987LIR,53,10/23/2009 12:00:00 AM,POINT (-122.44048706099994 37.77947623800003),13,13,7,6,39
772457615,10/29/2009 11:18:00 AM,T38B.1,YL ZN OT/D,1019 VALENCIA ST,CA,500DWW,73,10/29/2009 12:00:00 AM,POINT (-122.42101917299999 37.75659622400008),53,53,3,2,20
770659831,09/10/2009 09:06:00 AM,T58A,BLK WHEELS,838 ELLIS ST,CA,6FUR434,48,09/10/2009 12:00:00 AM,POINT (-122.41998227199997 37.78402741100007),20,20,4,10,36
770205240,09/14/2009 05:29:00 PM,T202.1,PRK MTR #1,335 BROADWAY ST,CA,5PYT759,63,09/14/2009 12:00:00 AM,POINT (-122.40277346099998 37.798308485000064),106,106,6,3,23
772808923,10/27/2009 12:08:00 AM,T37C,ST CLEANIN,945 BRYANT ST,CA,5ZAH479,53,10/27/2009 12:00:00 AM,POINT (-122.40547003299997 37.77337598500003),33,33,1,10,34
770384790,09/01/2009 11:50:00 AM,T37C,ST CLEANIN,400 HUGO ST,CA,4SZS728,53,09/01/2009 12:00:00 AM,POINT (-122.46216566099997 37.76521903100007),109,109,7,11,14
771000451,09/15/2009 12:03:00 PM,T202.1,PRK MTR #1,218 GOLDEN GATE AVE,CA,6AFB968,63,09/15/2009 12:00:00 AM,POINT (-122.41419064999997 37.781898381000076),20,20,5,10,36
PD20182573,10/27/2009 05:10:00 AM,V5200A,PLT F/R,2135 BRYANT ST.,CA,5NKK298,103,10/27/2009 12:00:00 AM,,,,,,
770381651,09/08/2009 11:04:00 AM,T202.1,PRK MTR #1,343 MAIN ST,CA,7V18181,63,09/08/2009 12:00:00 AM,POINT (-122.39101515399994 37.78880647400007),30,30,1,10,8
773070922,10/28/2009 09:58:00 AM,T37C,ST CLEANIN,10 SHARON ST,CA,3S3060,53,10/28/2009 12:00:00 AM,POINT (-122.43019999999996 37.765577001000054),37,37,3,5,5
769823143,09/03/2009 03:20:00 PM,T202,PRK METER,528 JEFFERSON ST,CA,5F08931,53,09/03/2009 12:00:00 AM,POINT (-122.42141794199995 37.80758890200008),99,99,6,6,32
770539151,09/14/2009 03:10:00 PM,T202,PRK METER,924 HOWARD ST,CA,6EKW826,53,09/14/2009 12:00:00 AM,POINT (-122.40562616799997 37.78104865300003),32,32,1,10,34
770481014,09/16/2009 02:48:00 PM,T32A.2,TWAWY ZONE,90 BOARDMAN PL,CA,4YRR552,73,09/16/2009 12:00:00 AM,POINT (-122.40224087999997 37.77402335800008),32,32,1,10,34
772712242,10/24/2009 11:31:00 AM,T38A,RED ZONE,3200 OCTAVIA ST,CA,4YXV372,88,10/24/2009 12:00:00 AM,POINT (-122.42961480699995 37.80171804200006),17,17,4,6,13
770091070,09/10/2009 12:22:00 PM,T202.1,PRK MTR #1,666 BRYANT ST,CA,5UHE210,63,09/10/2009 12:00:00 AM,,,,,,
772866603,10/26/2009 01:09:00 PM,T202,PRK METER,3929 24TH ST,CA,6FRU811,53,10/26/2009 12:00:00 AM,POINT (-122.43034400199997 37.751273996000066),84,84,3,5,22
770682791,09/14/2009 11:43:00 AM,T315A,RESIDENTL,95 CHESTNUT ST,CA,5XWK304,63,09/14/2009 12:00:00 AM,POINT (-122.40501557099998 37.80472393800005),77,77,6,3,8
770573403,09/11/2009 10:24:00 AM,T32.10,OFF ST PRK,320 CLEMENT ST,CA,8T90593,53,09/11/2009 12:00:00 AM,POINT (-122.46263015099998 37.78309933000003),5,5,8,4,11
772852614,10/31/2009 11:14:00 AM,T202,PRK METER,528 SHRADER ST,CA,5LQB194,53,10/31/2009 12:00:00 AM,POINT (-122.45165700199999 37.76988500600004),25,25,7,11,3
772400845,10/22/2009 03:23:00 PM,T32A.2,TWAWY ZONE,490 MCALLISTER ST,CA,5SCY560,73,10/22/2009 12:00:00 AM,POINT (-122.41990501199996 37.78040500700007),21,21,4,10,36
772733415,10/22/2009 07:38:00 PM,T38C,WHITE ZONE,750 SUTTER ST,CA,6JWY115,88,10/22/2009 12:00:00 AM,POINT (-122.41275298499994 37.788857989000064),50,50,6,3,21
769921622,09/11/2009 05:12:00 PM,T202,PRK METER,1624 VALENCIA ST,CA,5FFV953,53,09/11/2009 12:00:00 AM,POINT (-122.42019159299997 37.74627454100005),83,83,9,2,2
769764940,09/02/2009 12:23:00 PM,T202.1,PRK MTR #1,816 MONTGOMERY ST,CA,5WAZ229,63,09/02/2009 12:00:00 AM,POINT (-122.40344546999995 37.79655626600004),106,106,6,3,6
30691032T,09/09/2009 08:17:00 AM,TC127D,FAILTODISP,TRAIN,,,75,09/09/2009 12:00:00 AM,POINT (-122.41963999999996 37.777120000000025),21,21,4,10,36
